Date,Vehicle_ID,Vehicle_Type,Driver_ID,City,State,Fuel_Type,Fuel_Quantity_Liters,Fuel_Price_Per_Liter_INR,Total_Fuel_Cost_INR,Distance_KM,Mileage_KMPL,Maintenance_Cost_INR,Department,Route_Type,Is_Fraud
2024-01-21,VH1001,Van,DR0501,Pune,Maharashtra,CNG,26.18,76.56,2004.34,28.6,1.09,1583.72,Operations,Urban,1
2024-06-09,VH1002,Van,DR0502,Ahmedabad,Gujarat,CNG,0.84,78.04,65.55,11.0,13.15,918.86,Sales,Urban,0
2024-08-31,VH1003,Van,DR0503,Mumbai,Maharashtra,CNG,8.17,80.92,661.12,84.0,10.28,1387.85,Operations,Mixed,0
2024-12-11,VH1004,Truck,DR0504,Chennai,Tamil Nadu,CNG,16.25,75.98,1234.67,159.1,9.79,1119.12,Sales,Highway,0
2025-01-22,VH1005,Car,DR0505,Pune,Maharashtra,CNG,8.54,78.12,667.14,146.9,17.2,1298.43,Maintenance,Highway,0
2024-09-27,VH1006,Van,DR0506,Mumbai,Maharashtra,CNG,17.48,75.88,1326.38,195.4,11.18,1049.45,Maintenance,Highway,0
2024-02-10,VH1007,SUV,DR0507,Mumbai,Maharashtra,Diesel,8.71,87.96,766.13,78.3,8.99,1062.35,Logistics,Urban,0
2024-10-15,VH1008,Car,DR0508,Ahmedabad,Gujarat,Petrol,7.36,100.67,740.93,156.5,21.26,1320.56,Operations,Mixed,0
2025-11-14,VH1009,Bus,DR0509,Chennai,Tamil Nadu,Petrol,11.72,101.01,1183.84,88.5,7.55,1162.1,Administration,Mixed,0
2024-07-25,VH1010,SUV,DR0510,Delhi,Delhi,Diesel,2.85,89.28,254.45,23.2,8.15,1721.25,Operations,Urban,0
2024-06-19,VH1011,SUV,DR0511,Kolkata,West Bengal,Petrol,14.27,96.23,1373.2,194.9,13.66,1611.87,Administration,Mixed,0
2024-01-28,VH1012,SUV,DR0512,Mumbai,Maharashtra,Petrol,17.73,96.4,1709.17,186.2,10.5,1575.39,Administration,Highway,0
2025-09-24,VH1013,Mini-Truck,DR0513,Delhi,Delhi,Petrol,9.89,103.0,1018.67,130.2,13.16,1082.71,Logistics,Mixed,0
2025-01-08,VH1014,Truck,DR0514,Hyderabad,Telangana,Petrol,11.62,96.41,1120.28,103.5,8.91,1126.76,Maintenance,Mixed,0
2025-09-04,VH1015,Mini-Truck,DR0515,Chennai,Tamil Nadu,Diesel,10.02,87.85,880.26,82.4,8.22,2431.62,Operations,Urban,0
2025-11-14,VH1016,Truck,DR0516,Hyderabad,Telangana,Diesel,5.58,89.48,499.3,49.5,8.87,1284.33,Sales,Urban,0
2024-07-16,VH1017,Mini-Truck,DR0517,Delhi,Delhi,Diesel,14.13,88.99,1257.43,182.3,12.9,1389.11,Maintenance,Highway,0
2025-02-06,VH1018,SUV,DR0518,Ahmedabad,Gujarat,CNG,7.87,82.11,646.21,101.2,12.86,1065.03,Maintenance,Mixed,0
2025-04-17,VH1019,Bus,DR0519,Ahmedabad,Gujarat,Diesel,6.3,87.09,548.67,38.9,6.17,1570.62,Operations,Urban,0
2024-10-30,VH1020,Truck,DR0520,Ahmedabad,Gujarat,Diesel,21.78,94.65,2061.48,194.1,8.91,1290.31,Logistics,Highway,0
2025-09-16,VH1021,Car,DR0521,Bengaluru,Karnataka,CNG,13.5,76.62,1034.37,28.3,2.1,842.82,Logistics,Mixed,1
2024-06-09,VH1022,Bus,DR0522,Mumbai,Maharashtra,Diesel,10.28,85.18,875.65,61.5,5.98,643.75,Administration,Urban,0
